지역명,연도,월,평당분양가격,전용면적
강원,2016,3,7240.2,모든면적
강원,2016,3,7421.7,60㎡
강원,2016,3,7329.299999999999,60㎡~85㎡
강원,2016,3,,85㎡~102㎡
강원,2016,3,7755.0,102㎡~
충북,2016,3,6534.0,모든면적
충북,2016,3,6352.5,60㎡
충북,2016,3,6669.299999999999,60㎡~85㎡
충북,2016,3,7510.799999999999,85㎡~102㎡
충북,2016,3,7461.299999999999,102㎡~
충남,2016,3,6979.5,모든면적
충남,2016,3,7345.799999999999,60㎡
충남,2016,3,6976.2,60㎡~85㎡
충남,2016,3,8385.3,85㎡~102㎡
충남,2016,3,8065.2,102㎡~
전북,2016,3,6438.299999999999,모든면적
전북,2016,3,6303.0,60㎡
전북,2016,3,6464.7,60㎡~85㎡
전북,2016,3,7487.7,85㎡~102㎡
전북,2016,3,7566.9,102㎡~
전남,2016,3,6339.299999999999,모든면적
전남,2016,3,6606.599999999999,60㎡
전남,2016,3,6332.7,60㎡~85㎡
전남,2016,3,7464.599999999999,85㎡~102㎡
전남,2016,3,7180.799999999999,102㎡~
경북,2016,3,7190.7,모든면적
경북,2016,3,7170.9,60㎡
경북,2016,3,7230.299999999999,60㎡~85㎡
경북,2016,3,8827.5,85㎡~102㎡
경북,2016,3,7636.2,102㎡~
경남,2016,3,7863.9,모든면적
경남,2016,3,7807.799999999999,60㎡
경남,2016,3,7893.599999999999,60㎡~85㎡
경남,2016,3,10074.9,85㎡~102㎡
경남,2016,3,8728.5,102㎡~
제주,2016,3,7636.2,모든면적
제주,2016,3,,60㎡
제주,2016,3,7636.2,60㎡~85㎡
제주,2016,3,,85㎡~102㎡
제주,2016,3,,102㎡~
서울,2016,4,20595.3,모든면적
서울,2016,4,21839.399999999998,60㎡
서울,2016,4,20446.8,60㎡~85㎡
서울,2016,4,26716.8,85㎡~102㎡
서울,2016,4,20964.899999999998,102㎡~
인천,2016,4,10685.4,모든면적
인천,2016,4,10965.9,60㎡
인천,2016,4,10385.099999999999,60㎡~85㎡
인천,2016,4,11698.5,85㎡~102㎡
인천,2016,4,15968.699999999999,102㎡~
경기,2016,4,10556.699999999999,모든면적
경기,2016,4,11220.0,60㎡
경기,2016,4,10701.9,60㎡~85㎡
경기,2016,4,11203.5,85㎡~102㎡
경기,2016,4,11916.3,102㎡~
부산,2016,4,10457.699999999999,모든면적
부산,2016,4,9810.9,60㎡
부산,2016,4,10187.099999999999,60㎡~85㎡
부산,2016,4,9669.0,85㎡~102㎡
부산,2016,4,12299.099999999999,102㎡~
대구,2016,4,10335.599999999999,모든면적
대구,2016,4,11025.3,60㎡
대구,2016,4,10454.4,60㎡~85㎡
대구,2016,4,8378.699999999999,85㎡~102㎡
대구,2016,4,9051.9,102㎡~
광주,2016,4,8910.0,모든면적
광주,2016,4,8580.0,60㎡
광주,2016,4,8896.8,60㎡~85㎡
광주,2016,4,9088.199999999999,85㎡~102㎡
광주,2016,4,11609.4,102㎡~
대전,2016,4,8081.7,모든면적
대전,2016,4,8345.699999999999,60㎡
대전,2016,4,8002.5,60㎡~85㎡
대전,2016,4,,85㎡~102㎡
대전,2016,4,,102㎡~
울산,2016,4,10137.599999999999,모든면적
울산,2016,4,8533.8,60㎡
울산,2016,4,10150.8,60㎡~85㎡
울산,2016,4,8787.9,85㎡~102㎡
울산,2016,4,9791.1,102㎡~
세종,2016,4,8844.0,모든면적
세종,2016,4,8764.8,60㎡
세종,2016,4,8906.699999999999,60㎡~85㎡
세종,2016,4,8758.199999999999,85㎡~102㎡
세종,2016,4,8956.199999999999,102㎡~
강원,2016,4,7062.0,모든면적
강원,2016,4,7071.9,60㎡
강원,2016,4,7203.9,60㎡~85㎡
강원,2016,4,,85㎡~102㎡
강원,2016,4,7755.0,102㎡~
충북,2016,4,6494.4,모든면적
충북,2016,4,6319.5,60㎡
충북,2016,4,6633.0,60㎡~85㎡
충북,2016,4,7510.799999999999,85㎡~102㎡
충북,2016,4,7461.299999999999,102㎡~
충남,2016,4,7157.7,모든면적
