모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량
i40 1.7디젤_7DCT ISG (Wagon_16인치 타이어) (15),현대,경유,1685 ,자동7,15.4,2등급,122
MINI Cooper D five-door,BMW,경유,1496 ,자동6,15.1,2등급,123
BMW 420d Coupe,BMW,경유,1995 ,자동8,14,2등급,135
볼보 S60D4,볼보,경유,1969 ,자동8,15.2,2등급,124
"쏘나타(LF) 1.7디젤 개조차 7DCT (17"" 타이어) (15)",현대,경유,1685 ,자동7,15.9,2등급,118
"쏘나타(LF) 1.7디젤 개조차 7DCT (18"" 타이어) (15)",현대,경유,1685 ,자동7,15.6,2등급,120
E220 d 4Matic,벤츠,경유,1950 ,자동9,13.8,2등급,138
"카렌스 1.7 디젤 5인(17/18""타이어) (15)",기아,경유,1685 ,자동7,14.4,2등급,131
BMW 420d Gran Coupe,BMW,경유,1995 ,자동8,14.4,2등급,136
"카렌스 1.7 디젤 5인 ISG(16""타이어) (15)",기아,경유,1685 ,자동7,15.2,2등급,123
"카렌스 1.7 디젤 7인(17/18""타이어) (15)",기아,경유,1685 ,자동7,14.4,2등급,131
MINI Cooper SD,MINI,경유,1995 ,자동6,15.5,2등급,125
BMW 118d,BMW,경유,1995 ,자동8,15.3,2등급,128
MINI Cooper SD Countryman,BMW,경유,1995 ,자동8,14.1,2등급,139
BMW 420d Coupe,BMW,경유,1995 ,자동8,14.4,2등급,136
BMW Active Tourer,BMW,경유,1995 ,자동8,14.8,2등급,132
BMW 520d xDrvie,BMW,경유,1995 ,자동8,13.9,2등급,136
BMW 520d,BMW,경유,1995 ,자동8,14,2등급,135
K7(YG) 2.2디젤 17MY (17인치타이어) (15),기아,경유,2199 ,자동8,14.8,2등급,128
K7(YG) 2.2디젤 17MY (19인치타이어) (15),기아,경유,2199 ,자동8,14.1,2등급,135
K7(YG) 2.2디젤 17MY (18인치타이어) (15),기아,경유,2199 ,자동8,14.4,2등급,132
BMW 320d Touring,BMW,경유,1995 ,자동8,14,2등급,136
BMW 320d xDrive,BMW,경유,1995 ,자동8,13.8,2등급,138
볼보 S90D4,볼보,경유,1969 ,자동8,14,2등급,136
코란도C 2.2 디젤 6MT 2WD,쌍용,경유,2157 ,수동6,14.3,2등급,132
코란도C 2.2 디젤 6MT AWD,쌍용,경유,2157 ,수동6,13.8,2등급,138
C220 d 4Matic,벤츠,경유,2143 ,자동9,14.7,2등급,129
C250 d 4Matic,벤츠,경유,2143 ,자동9,13.8,2등급,138
"그랜저 2.2디젤 8AT (19""타이어) (15)",현대,경유,2199 ,자동8,14.1,2등급,135
"그랜저 2.2디젤 8AT (17""타이어) (15)",현대,경유,2199 ,자동8,14.8,2등급,128
"그랜저 2.2디젤 8AT (18""타이어) (15)",현대,경유,2199 ,자동8,14.3,2등급,133
Lincoln MKZ Hybrid,포드,휘발유,1999 ,무단변속,15.8,2등급,103
BMW Active Tourer,BMW,경유,1995 ,자동8,15.3,2등급,123
BMW 320d EfficientDynamics Edition,BMW,경유,1995 ,자동8,15.3,2등급,123
